,Datetime,Day of the Year,Description,District,Neighborhood
2,2016-12-31 23:30:00,366,larceny from auto,southeastern,canton
5,2016-12-31 23:15:00,366,burglary,southwestern,irvington
8,2016-12-31 22:30:00,366,robbery - street,northeastern,belair-edison
11,2016-12-31 21:30:00,366,larceny,western,penn north
12,2016-12-31 21:27:00,366,common assault,southern,cherry hill
13,2016-12-31 21:25:00,366,assault by threat,western,harlem park
17,2016-12-31 20:53:00,366,common assault,southern,cherry hill
18,2016-12-31 20:45:00,366,common assault,southern,curtis bay
19,2016-12-31 20:30:00,366,robbery - carjacking,southern,hollins market
25,2016-12-31 19:54:00,366,agg. assault,eastern,middle east
28,2016-12-31 19:18:00,366,robbery - street,southeastern,canton
29,2016-12-31 19:00:00,366,common assault,southern,westport
31,2016-12-31 19:00:00,366,larceny from auto,central,inner harbor
34,2016-12-31 18:50:00,366,robbery - commercial,southwestern,irvington
36,2016-12-31 18:36:00,366,common assault,northwestern,west arlington
38,2016-12-31 18:20:00,366,common assault,central,downtown
39,2016-12-31 18:00:00,366,burglary,southern,cherry hill
53,2016-12-31 16:05:00,366,burglary,northeastern,belair-edison
55,2016-12-31 16:00:00,366,larceny from auto,southeastern,highlandtown
56,2016-12-31 16:00:00,366,larceny,southern,brooklyn
57,2016-12-31 15:30:00,366,burglary,northwestern,forest park
60,2016-12-31 15:00:00,366,larceny from auto,northeastern,frankford
61,2016-12-31 15:00:00,366,larceny,southern,curtis bay
70,2016-12-31 13:35:00,366,larceny from auto,central,downtown
78,2016-12-31 12:00:00,366,burglary,northeastern,belair-edison
83,2016-12-31 11:20:00,366,common assault,eastern,oldtown
85,2016-12-31 11:00:00,366,larceny from auto,central,downtown
88,2016-12-31 10:15:00,366,larceny,southern,mount winans
89,2016-12-31 10:07:00,366,larceny,central,inner harbor
90,2016-12-31 09:51:00,366,larceny,central,downtown
91,2016-12-31 09:40:00,366,larceny,northeastern,frankford
93,2016-12-31 09:00:00,366,larceny from auto,southeastern,inner harbor
96,2016-12-31 08:45:00,366,larceny,southeastern,highlandtown
97,2016-12-31 08:15:00,366,larceny from auto,southeastern,canton
101,2016-12-30 17:30:00,365,robbery - street,southern,lakeland
103,2016-12-31 04:27:00,366,common assault,southern,brooklyn
105,2016-12-31 03:45:00,366,robbery - street,southwestern,irvington
109,2016-12-31 03:00:00,366,agg. assault,northeastern,frankford
121,2016-12-31 00:10:00,366,auto theft,central,seton hill
129,2016-12-30 23:30:00,365,agg. assault,southern,brooklyn
130,2016-12-30 23:30:00,365,auto theft,southern,cherry hill
139,2016-12-30 22:30:00,365,larceny from auto,central,downtown
143,2016-12-30 21:15:00,365,auto theft,southern,lakeland
144,2016-12-30 21:00:00,365,larceny,central,reservoir hill
146,2016-12-30 20:30:00,365,common assault,northeastern,cedonia
148,2016-12-30 20:30:00,365,larceny,central,reservoir hill
150,2016-12-30 20:00:00,365,auto theft,northeastern,frankford
159,2016-12-30 18:00:00,365,larceny from auto,southern,brooklyn
162,2016-12-30 18:00:00,365,auto theft,western,harlem park
167,2016-12-30 17:00:00,365,larceny,western,penn north
170,2016-12-30 16:44:00,365,common assault,southwestern,morrell park
171,2016-12-30 16:33:00,365,larceny,northeastern,frankford
172,2016-12-30 16:30:00,365,burglary,southern,westport
173,2016-12-30 16:30:00,365,auto theft,southeastern,canton
177,2016-12-30 15:00:00,365,assault by threat,central,upton
178,2016-12-30 15:00:00,365,burglary,southeastern,canton
179,2016-12-30 14:30:00,365,common assault,western,sandtown-winchester
180,2016-12-30 14:15:00,365,common assault,western,sandtown-winchester
182,2016-12-30 14:00:00,365,larceny,northeastern,frankford
183,2016-12-30 13:00:00,365,assault by threat,southwestern,franklintown
188,2016-12-30 11:45:00,365,burglary,northwestern,howard park
191,2016-12-30 11:25:00,365,larceny,southeastern,canton
195,2016-12-30 10:30:00,365,larceny from auto,central,inner harbor
196,2016-12-30 10:30:00,365,larceny from auto,central,inner harbor
204,2016-12-30 09:00:00,365,auto theft,southwestern,irvington
205,2016-12-30 08:25:00,365,burglary,northeastern,frankford
206,2016-12-30 08:00:00,365,larceny,western,sandtown-winchester
209,2016-12-30 06:30:00,365,burglary,northeastern,belair-edison
218,2016-12-30 03:50:00,365,auto theft,northeastern,frankford
221,2016-12-30 03:00:00,365,robbery - street,southeastern,canton
224,2016-12-30 01:42:00,365,robbery - street,central,upton
225,2016-12-30 01:30:00,365,agg. assault,central,downtown
227,2016-12-30 01:20:00,365,common assault,southwestern,beechfield
228,2016-12-30 00:30:00,365,burglary,central,upton
230,2016-12-30 00:23:00,365,robbery - street,northern,barclay
232,2016-12-30 00:10:00,365,agg. assault,northwestern,west arlington
235,2016-12-29 23:43:00,364,burglary,northeastern,frankford
236,2016-12-29 23:33:00,364,robbery - street,central,federal hill
237,2016-12-29 23:10:00,364,auto theft,western,poppleton
240,2016-12-29 22:30:00,364,common assault,southeastern,highlandtown
246,2016-12-29 21:14:00,364,robbery - street,northeastern,frankford
247,2016-12-29 21:14:00,364,robbery - street,northeastern,frankford
253,2016-12-29 21:00:00,364,auto theft,northeastern,frankford
254,2016-12-29 20:56:00,364,common assault,southern,cherry hill
255,2016-12-29 20:52:00,364,common assault,northeastern,belair-edison
256,2016-12-29 20:52:00,364,common assault,northeastern,belair-edison
257,2016-12-29 20:52:00,364,larceny,northeastern,belair-edison
263,2016-12-29 19:40:00,364,robbery - commercial,southeastern,highlandtown
264,2016-12-29 19:30:00,364,larceny from auto,southeastern,canton
269,2016-12-29 18:40:00,364,robbery - street,southern,mount winans
271,2016-12-29 18:40:00,364,larceny,central,inner harbor
274,2016-12-29 18:30:00,364,auto theft,northeastern,loch raven
276,2016-12-29 18:00:00,364,larceny from auto,southeastern,canton
277,2016-12-29 18:00:00,364,auto theft,eastern,oldtown
278,2016-12-29 18:00:00,364,auto theft,southern,curtis bay
279,2016-12-29 18:00:00,364,auto theft,northeastern,frankford
282,2016-12-29 17:12:00,364,larceny,northeastern,frankford
283,2016-12-29 17:10:00,364,larceny,southeastern,highlandtown
290,2016-12-29 16:00:00,364,burglary,northwestern,arlington
291,2016-12-29 16:00:00,364,auto theft,southwestern,walbrook
293,2016-12-29 15:45:00,364,common assault,southern,brooklyn
297,2016-12-29 15:00:00,364,burglary,northern,mount washington
299,2016-12-29 15:00:00,364,larceny from auto,central,downtown
301,2016-12-29 14:20:00,364,common assault,southwestern,franklintown
302,2016-12-29 14:05:00,364,larceny,central,inner harbor
308,2016-12-29 13:40:00,364,larceny,central,inner harbor
312,2016-12-29 12:38:00,364,larceny from auto,central,downtown
313,2016-12-29 12:30:00,364,burglary,southern,westport
314,2016-12-29 12:00:00,364,burglary,northwestern,howard park
322,2016-12-29 10:30:00,364,burglary,northeastern,belair-edison
324,2016-12-29 10:21:00,364,robbery - street,northeastern,belair-edison
325,2016-12-29 10:00:00,364,larceny from auto,southern,hollins market
326,2016-12-29 09:00:00,364,burglary,northeastern,belair-edison
328,2016-12-29 08:45:00,364,larceny from auto,central,downtown
331,2016-12-29 08:15:00,364,common assault,northeastern,frankford
332,2016-12-29 07:30:00,364,larceny from auto,central,downtown
334,2016-12-29 07:00:00,364,larceny,southern,brooklyn
339,2016-12-29 06:00:00,364,larceny,northeastern,belair-edison
340,2016-12-29 05:50:00,364,robbery - street,southwestern,edmondson village
342,2016-12-29 05:20:00,364,larceny from auto,northwestern,cheswolde
345,2016-12-29 04:15:00,364,common assault,southern,brooklyn
351,2016-12-29 02:00:00,364,larceny,northwestern,ashburton
358,2016-12-29 00:00:00,364,larceny,western,harlem park
362,2016-12-28 23:20:00,363,agg. assault,southwestern,irvington
363,2016-12-28 23:09:00,363,common assault,southwestern,west hills
365,2016-12-28 22:00:00,363,common assault,southern,cherry hill
370,2016-12-28 21:20:00,363,robbery - street,southwestern,morrell park
371,2016-12-28 21:15:00,363,robbery - street,central,reservoir hill
372,2016-12-28 20:49:00,363,robbery - street,central,downtown
373,2016-12-28 20:45:00,363,larceny,central,downtown
385,2016-12-28 19:30:00,363,auto theft,southern,cherry hill
386,2016-12-28 19:24:57,363,rape,southwestern,edmondson village
390,2016-12-28 19:05:00,363,larceny,southeastern,fells point
391,2016-12-28 19:00:00,363,agg. assault,central,druid heights
392,2016-12-28 19:00:00,363,agg. assault,central,druid heights
393,2016-12-28 19:00:00,363,larceny from auto,southeastern,canton
397,2016-12-28 18:48:00,363,robbery - street,southern,lakeland
399,2016-12-28 18:45:00,363,larceny from auto,central,downtown
401,2016-12-28 18:05:00,363,burglary,northern,homeland
405,2016-12-28 17:37:00,363,shooting,western,sandtown-winchester
406,2016-12-28 17:37:00,363,shooting,western,sandtown-winchester
407,2016-12-28 17:37:00,363,shooting,western,sandtown-winchester
408,2016-12-28 17:00:00,363,shooting,southwestern,morrell park
409,2016-12-28 17:43:00,363,robbery - street,southwestern,morrell park
410,2016-12-28 17:32:00,363,agg. assault,western,sandtown-winchester
411,2016-12-28 17:32:00,363,agg. assault,western,sandtown-winchester
414,2016-12-28 17:15:00,363,robbery - street,southeastern,highlandtown
416,2016-12-28 17:00:00,363,robbery - street,central,downtown
418,2016-12-28 17:00:00,363,larceny,southern,lakeland
419,2016-12-28 17:00:00,363,larceny,southern,lakeland
423,2016-12-28 16:53:00,363,agg. assault,southwestern,morrell park
427,2016-12-28 16:30:00,363,agg. assault,southwestern,morrell park
433,2016-12-28 16:00:00,363,common assault,southern,lakeland
435,2016-12-28 16:00:00,363,larceny from auto,eastern,oldtown
436,2016-12-28 16:00:00,363,larceny,eastern,oldtown
441,2016-12-28 15:00:00,363,burglary,southern,brooklyn
442,2016-12-28 15:00:00,363,larceny from auto,northern,hampden
443,2016-12-28 15:00:00,363,larceny,northern,remington
445,2016-12-28 14:36:21,363,rape,western,sandtown-winchester
447,2016-12-28 14:10:00,363,larceny,western,sandtown-winchester
449,2016-12-28 14:00:00,363,burglary,southern,cherry hill
453,2016-12-28 14:00:00,363,larceny,southern,federal hill
456,2016-12-28 13:45:00,363,agg. assault,northeastern,belair-edison
458,2016-12-28 13:30:00,363,larceny,southeastern,highlandtown
460,2016-12-28 13:00:00,363,larceny,northeastern,belair-edison
462,2016-12-28 12:40:00,363,auto theft,southwestern,violetville
465,2016-12-28 12:00:00,363,burglary,northeastern,belair-edison
474,2016-12-28 10:52:00,363,common assault,northwestern,woodberry
479,2016-12-28 09:00:00,363,larceny from auto,central,downtown
480,2016-12-28 08:45:00,363,burglary,southwestern,beechfield
481,2016-12-28 08:15:00,363,robbery - street,central,downtown
484,2016-12-28 07:48:00,363,larceny,northern,homeland
490,2016-12-28 05:10:00,363,burglary,northern,guilford
498,2016-12-28 02:30:00,363,auto theft,southern,brooklyn
499,2016-12-28 02:07:00,363,common assault,southwestern,walbrook
500,2016-12-28 02:05:00,363,common assault,southern,lakeland
501,2016-12-28 01:50:00,363,common assault,southwestern,morrell park
502,2016-12-28 01:50:00,363,common assault,southwestern,morrell park
505,2016-12-28 01:01:00,363,larceny,southeastern,fells point
509,2016-12-28 00:00:00,363,common assault,southern,brooklyn
516,2016-12-27 22:55:00,362,agg. assault,western,harlem park
517,2016-12-27 22:55:00,362,agg. assault,western,harlem park
520,2016-12-27 22:45:00,362,agg. assault,central,seton hill
521,2016-12-27 22:30:00,362,robbery - commercial,southeastern,canton
522,2016-12-27 22:28:00,362,robbery - street,southern,lakeland
523,2016-12-27 22:24:00,362,robbery - commercial,southern,brooklyn
525,2016-12-27 22:00:00,362,robbery - street,southeastern,little italy
527,2016-12-27 22:00:00,362,auto theft,southern,brooklyn
528,2016-12-27 21:50:00,362,common assault,southern,brooklyn
532,2016-12-27 21:00:00,362,larceny from auto,western,penn north
533,2016-12-27 21:00:00,362,larceny,eastern,oldtown
541,2016-12-27 20:00:00,362,larceny from auto,southern,brooklyn
543,2016-12-27 19:56:00,362,common assault,central,inner harbor
554,2016-12-27 18:06:00,362,shooting,northeastern,lauraville
555,2016-12-27 18:40:00,362,robbery - commercial,northern,remington
556,2016-12-27 18:36:00,362,agg. assault,northwestern,dorchester
558,2016-12-27 18:30:00,362,larceny,northern,coldspring
568,2016-12-27 17:02:00,362,common assault,southeastern,inner harbor
570,2016-12-27 17:00:00,362,common assault,northeastern,cedonia
572,2016-12-27 16:57:00,362,auto theft,southern,hollins market
574,2016-12-27 16:45:00,362,assault by threat,western,sandtown-winchester
575,2016-12-27 16:30:00,362,larceny from auto,northern,homeland
579,2016-12-27 16:00:00,362,robbery - street,northeastern,belair-edison
580,2016-12-27 16:00:00,362,larceny from auto,southeastern,canton
582,2016-12-27 16:00:00,362,auto theft,northern,barclay
583,2016-12-27 15:30:00,362,burglary,northeastern,frankford
586,2016-12-27 15:15:00,362,larceny from auto,central,reservoir hill
588,2016-12-27 15:00:00,362,larceny,northern,hampden
589,2016-12-27 15:00:00,362,auto theft,northwestern,howard park
592,2016-12-27 13:50:00,362,agg. assault,central,downtown
593,2016-12-27 13:50:00,362,common assault,central,downtown
594,2016-12-27 13:50:00,362,common assault,central,downtown
601,2016-12-27 11:14:00,362,shooting,northwestern,howard park
602,2016-12-27 11:11:00,362,agg. assault,northwestern,howard park
607,2016-12-27 10:45:00,362,common assault,northeastern,frankford
609,2016-12-27 10:22:00,362,common assault,western,poppleton
610,2016-12-27 10:22:00,362,common assault,western,poppleton
612,2016-12-27 10:00:00,362,burglary,northwestern,arlington
616,2016-12-27 09:45:00,362,larceny,central,upton
617,2016-12-27 09:10:00,362,common assault,western,sandtown-winchester
618,2016-12-27 09:02:56,362,rape,northwestern,ashburton
620,2016-12-27 09:00:00,362,burglary,northeastern,belair-edison
622,2016-12-27 09:00:00,362,larceny,southern,federal hill
625,2016-12-27 07:00:00,362,burglary,northeastern,frankford
626,2016-12-27 05:04:00,362,burglary,eastern,middle east
627,2016-12-27 04:44:00,362,agg. assault,western,sandtown-winchester
628,2016-12-27 04:44:00,362,agg. assault,western,sandtown-winchester
629,2016-12-27 04:40:00,362,burglary,southwestern,morrell park
630,2016-12-27 04:19:00,362,burglary,northeastern,belair-edison
635,2016-12-27 02:32:00,362,common assault,western,sandtown-winchester
644,2016-12-27 00:00:00,362,larceny,eastern,oldtown
653,2016-12-26 23:00:00,361,auto theft,southern,cherry hill
658,2016-12-26 21:37:00,361,common assault,southwestern,morrell park
660,2016-12-26 21:30:00,361,agg. assault,central,poppleton
663,2016-12-26 21:00:00,361,common assault,southern,cherry hill
665,2016-12-26 21:00:00,361,larceny from auto,northern,hampden
666,2016-12-26 21:00:00,361,larceny from auto,southwestern,edmondson village
667,2016-12-26 21:00:00,361,larceny from auto,southern,brooklyn
668,2016-12-26 21:00:00,361,auto theft,northeastern,loch raven
671,2016-12-26 20:35:00,361,larceny,southern,brooklyn
675,2016-12-26 20:13:00,361,common assault,central,downtown
676,2016-12-26 20:02:00,361,robbery - street,southern,lakeland
677,2016-12-26 20:00:00,361,larceny from auto,northwestern,arlington
678,2016-12-26 20:00:00,361,auto theft,southern,cherry hill
679,2016-12-26 20:00:00,361,auto theft,southern,brooklyn
682,2016-12-26 19:30:00,361,larceny,southeastern,fells point
686,2016-12-26 18:55:00,361,robbery - commercial,eastern,orangeville
689,2016-12-26 18:42:00,361,common assault,western,sandtown-winchester
690,2016-12-26 18:30:00,361,robbery - street,central,downtown
691,2016-12-26 18:11:00,361,burglary,northeastern,belair-edison
692,2016-12-26 18:05:00,361,agg. assault,central,upton
693,2016-12-26 18:00:00,361,burglary,northeastern,lauraville
695,2016-12-26 17:30:00,361,burglary,southwestern,edmondson village
699,2016-12-26 16:45:00,361,burglary,southern,brooklyn
706,2016-12-26 16:00:00,361,larceny,southwestern,morrell park
713,2016-12-26 13:00:00,361,robbery - commercial,southeastern,fells point
717,2016-12-26 12:08:00,361,larceny,southeastern,little italy
719,2016-12-26 12:00:00,361,larceny,northwestern,howard park
720,2016-12-26 12:00:00,361,auto theft,western,poppleton
721,2016-12-26 11:50:00,361,common assault,southern,brooklyn
723,2016-12-26 11:31:00,361,larceny,southern,cherry hill
727,2016-12-26 09:45:00,361,robbery - carjacking,northeastern,lauraville
729,2016-12-26 08:00:00,361,common assault,southeastern,fells point
735,2016-12-26 06:30:00,361,agg. assault,southwestern,dickeyville
736,2016-12-26 05:00:00,361,robbery - street,southeastern,highlandtown
737,2016-12-26 05:00:00,361,larceny,northwestern,dorchester
739,2016-12-26 04:00:00,361,robbery - street,southeastern,highlandtown
742,2016-12-26 03:15:00,361,burglary,northwestern,howard park
749,2016-12-26 01:25:00,361,common assault,southwestern,irvington
750,2016-12-26 01:15:00,361,burglary,southern,cherry hill
752,2016-12-26 00:49:00,361,robbery - street,northern,remington
753,2016-12-26 00:20:00,361,common assault,western,harlem park
760,2016-12-25 22:32:00,360,robbery - street,eastern,barclay
762,2016-12-25 22:00:00,360,common assault,central,downtown
766,2016-12-25 21:30:00,360,auto theft,southeastern,canton
768,2016-12-25 21:15:00,360,robbery - commercial,southeastern,canton
770,2016-12-25 21:00:00,360,larceny from auto,western,penn north
772,2016-12-25 20:56:00,360,agg. assault,northeastern,frankford
775,2016-12-25 20:30:00,360,larceny from auto,southern,brooklyn
777,2016-12-25 20:00:00,360,larceny from auto,southern,brooklyn
779,2016-12-25 19:00:00,360,larceny from auto,northeastern,frankford
785,2016-12-25 18:00:00,360,burglary,southern,brooklyn
787,2016-12-25 18:00:00,360,auto theft,northeastern,cedonia
795,2016-12-25 17:09:00,360,common assault,central,druid heights
798,2016-12-25 16:45:00,360,common assault,southwestern,allendale
799,2016-12-25 16:30:00,360,larceny,northwestern,ashburton
808,2016-12-25 15:00:00,360,common assault,northwestern,forest park
815,2016-12-25 14:23:00,360,robbery - street,northeastern,frankford
820,2016-12-25 13:00:00,360,robbery - street,southwestern,morrell park
822,2016-12-25 12:30:00,360,larceny,northeastern,loch raven
829,2016-12-25 12:00:00,360,auto theft,southwestern,edmondson village
841,2016-12-25 09:39:00,360,common assault,western,harlem park
844,2016-12-25 08:40:00,360,robbery - street,northeastern,frankford
848,2016-12-25 08:00:00,360,agg. assault,northeastern,frankford
851,2016-12-25 06:08:00,360,burglary,northeastern,belair-edison
852,2016-12-25 05:00:00,360,agg. assault,northwestern,arlington
853,2016-12-25 05:00:00,360,burglary,northwestern,ashburton
855,2016-12-25 04:30:00,360,common assault,southern,curtis bay
857,2016-12-25 03:30:00,360,larceny,southwestern,morrell park
859,2016-12-25 02:46:00,360,shooting,central,downtown
862,2016-12-25 01:49:00,360,arson,southern,mount winans
864,2016-12-25 01:44:00,360,larceny,northeastern,frankford
869,2016-12-25 00:35:00,360,assault by threat,northwestern,howard park
872,2016-12-25 00:00:00,360,larceny from auto,southern,cherry hill
873,2016-12-24 23:14:00,359,shooting,central,druid heights
875,2016-12-24 23:50:00,359,common assault,southern,brooklyn
877,2016-12-24 23:30:00,359,larceny from auto,western,poppleton
882,2016-12-24 23:14:00,359,agg. assault,central,druid heights
883,2016-12-24 23:14:00,359,agg. assault,central,druid heights
884,2016-12-24 23:14:00,359,agg. assault,central,druid heights
885,2016-12-24 23:06:00,359,common assault,southern,curtis bay
887,2016-12-24 23:00:00,359,larceny,southeastern,inner harbor
891,2016-12-24 22:22:00,359,larceny,central,upton
893,2016-12-24 22:00:00,359,auto theft,southern,curtis bay
894,2016-12-24 21:54:00,359,larceny,southwestern,morrell park
896,2016-12-24 21:32:00,359,robbery - street,southern,brooklyn
897,2016-12-24 21:00:00,359,larceny from auto,central,downtown
902,2016-12-24 20:00:00,359,larceny from auto,southeastern,fells point
903,2016-12-24 14:00:00,359,burglary,northeastern,belair-edison
906,2016-12-24 19:00:00,359,common assault,central,reservoir hill
907,2016-12-24 19:00:00,359,burglary,central,downtown
909,2016-12-24 18:30:00,359,agg. assault,central,druid heights
910,2016-12-24 18:30:00,359,agg. assault,southwestern,irvington
913,2016-12-24 18:00:00,359,larceny from auto,central,reservoir hill
915,2016-12-24 17:41:00,359,common assault,northeastern,belair-edison
919,2016-12-24 17:00:00,359,auto theft,western,sandtown-winchester
924,2016-12-24 16:30:00,359,robbery - carjacking,southwestern,violetville
925,2016-12-24 16:09:00,359,robbery - carjacking,western,penn north
929,2016-12-24 15:00:00,359,robbery - street,northeastern,loch raven
931,2016-12-24 14:10:00,359,larceny,central,inner harbor
939,2016-12-24 13:20:00,359,larceny,southern,hollins market
940,2016-12-24 13:00:00,359,burglary,western,penn north
941,2016-12-24 13:00:00,359,auto theft,southwestern,beechfield
942,2016-12-24 12:30:00,359,common assault,western,penn north
944,2016-12-24 12:00:00,359,agg. assault,central,druid heights
946,2016-12-24 12:00:00,359,larceny from auto,central,downtown
947,2016-12-24 12:00:00,359,larceny,northern,remington
952,2016-12-24 11:00:00,359,larceny,central,upton
956,2016-12-24 10:50:00,359,larceny from auto,central,downtown
957,2016-12-24 10:35:00,359,robbery - commercial,southern,lakeland
958,2016-12-24 10:30:00,359,burglary,northeastern,frankford
959,2016-12-24 10:12:00,359,larceny from auto,western,poppleton
962,2016-12-24 09:00:00,359,common assault,southern,brooklyn
963,2016-12-24 08:50:00,359,common assault,northwestern,howard park
973,2016-12-24 03:15:00,359,burglary,northern,homeland
974,2016-12-24 02:46:00,359,agg. assault,central,downtown
977,2016-12-24 02:00:00,359,auto theft,southern,lakeland
979,2016-12-24 01:28:00,359,common assault,northern,hampden
980,2016-12-24 01:20:00,359,agg. assault,northeastern,frankford
981,2016-12-24 01:01:00,359,agg. assault,southeastern,little italy
987,2016-12-24 00:10:00,359,robbery - street,southeastern,highlandtown
995,2016-12-23 23:08:00,358,robbery - street,northeastern,frankford
997,2016-12-23 22:55:00,358,robbery - street,northeastern,frankford
1000,2016-12-23 22:30:00,358,burglary,western,harlem park
1002,2016-12-23 22:20:00,358,larceny,western,sandtown-winchester
1003,2016-12-23 22:20:00,358,larceny,western,sandtown-winchester
1004,2016-12-23 22:00:00,358,robbery - street,northeastern,loch raven
1005,2016-12-23 22:00:00,358,agg. assault,southwestern,beechfield
1006,2016-12-23 22:00:00,358,common assault,northeastern,lauraville
1007,2016-12-23 22:00:00,358,auto theft,southeastern,canton
1011,2016-12-23 21:36:00,358,larceny,central,downtown
1014,2016-12-23 21:30:00,358,auto theft,southern,brooklyn
1015,2016-12-23 21:12:00,358,common assault,western,penn north
1016,2016-12-23 21:00:00,358,robbery - residence,northeastern,frankford
1020,2016-12-23 20:02:00,358,shooting,northeastern,frankford
1021,2016-12-23 20:50:00,358,robbery - commercial,northern,remington
1022,2016-12-23 20:50:00,358,robbery - commercial,northern,remington
1023,2016-12-23 20:35:00,358,robbery - residence,northern,barclay
1024,2016-12-23 20:35:00,358,robbery - residence,northern,barclay
1027,2016-12-23 20:30:00,358,larceny from auto,northern,homeland
1031,2016-12-23 20:00:00,358,larceny from auto,southeastern,little italy
1037,2016-12-23 19:30:00,358,burglary,southern,brooklyn
1040,2016-12-23 19:00:00,358,larceny from auto,southeastern,fells point
1041,2016-12-23 19:00:00,358,larceny from auto,southeastern,canton
1043,2016-12-23 19:00:00,358,larceny,southern,cherry hill
1044,2016-12-23 18:50:00,358,robbery - street,southern,brooklyn
1045,2016-12-23 18:30:00,358,robbery - street,central,seton hill
1047,2016-12-23 18:20:00,358,agg. assault,western,sandtown-winchester
1048,2016-12-23 18:16:00,358,larceny,northeastern,belair-edison
1053,2016-12-23 17:35:00,358,agg. assault,northern,homeland
1055,2016-12-23 17:10:00,358,larceny,southeastern,highlandtown
1057,2016-12-23 17:00:00,358,burglary,southern,curtis bay
1058,2016-12-23 17:00:00,358,burglary,southwestern,ten hills
1062,2016-12-23 16:27:00,358,burglary,western,penn north
1066,2016-12-23 16:00:00,358,auto theft,northeastern,frankford
1071,2016-12-23 15:00:00,358,burglary,southern,mount winans
1083,2016-12-23 13:45:00,358,common assault,northeastern,frankford
1084,2016-12-23 13:45:00,358,common assault,northeastern,frankford
1085,2016-12-23 13:15:00,358,larceny,northern,coldspring
1086,2016-12-23 13:00:00,358,larceny from auto,central,downtown
1087,2016-12-23 13:00:00,358,larceny,southwestern,irvington
1088,2016-12-23 12:30:00,358,common assault,southwestern,morrell park
1093,2016-12-23 12:00:00,358,burglary,southeastern,fells point
1095,2016-12-23 11:55:00,358,burglary,southwestern,beechfield
1096,2016-12-23 11:46:00,358,larceny,northeastern,frankford
1097,2016-12-23 11:30:00,358,burglary,northwestern,cheswolde
1099,2016-12-23 11:04:00,358,common assault,southwestern,morrell park
1100,2016-12-23 11:04:00,358,burglary,southwestern,morrell park
1103,2016-12-23 11:00:00,358,larceny,southeastern,highlandtown
1104,2016-12-23 10:45:00,358,burglary,southwestern,morrell park
1110,2016-12-23 09:00:00,358,burglary,western,harlem park
1112,2016-12-23 07:50:00,358,larceny from auto,central,downtown
1113,2016-12-23 07:24:00,358,agg. assault,southern,lakeland
1115,2016-12-23 06:30:00,358,robbery - commercial,northeastern,lauraville
1116,2016-12-23 06:30:00,358,larceny,central,druid heights
1122,2016-12-23 04:54:00,358,burglary,northern,hampden
1124,2016-12-23 04:50:00,358,common assault,western,harlem park
1125,2016-12-23 04:40:00,358,burglary,northern,homeland
1127,2016-12-23 04:22:00,358,common assault,southwestern,walbrook
1128,2016-12-23 04:00:00,358,burglary,northern,homeland
1131,2016-12-23 02:18:00,358,common assault,southeastern,highlandtown
1134,2016-12-23 01:44:00,358,common assault,central,reservoir hill
1135,2016-12-23 01:37:00,358,robbery - street,southern,lakeland
1137,2016-12-23 01:01:00,358,burglary,central,downtown
1138,2016-12-23 01:00:00,358,larceny from auto,western,penn north
1139,2016-12-23 01:00:00,358,larceny,southwestern,allendale
1143,2016-12-22 23:30:00,357,agg. assault,southeastern,highlandtown
1151,2016-12-22 22:00:00,357,larceny from auto,western,sandtown-winchester
1152,2016-12-22 22:00:00,357,auto theft,northeastern,belair-edison
1157,2016-12-22 21:41:00,357,burglary,central,upton
1158,2016-12-22 21:20:00,357,common assault,southwestern,irvington
1160,2016-12-22 21:00:00,357,larceny from auto,northwestern,cheswolde
1162,2016-12-22 21:00:00,357,larceny from auto,northeastern,loch raven
1164,2016-12-22 21:00:00,357,auto theft,southern,brooklyn
1166,2016-12-22 20:35:00,357,robbery - street,eastern,middle east
1167,2016-12-22 20:20:00,357,robbery - street,central,downtown
1168,2016-12-22 20:10:00,357,robbery - street,southwestern,violetville
1172,2016-12-22 20:00:00,357,auto theft,southern,brooklyn
1175,2016-12-22 19:50:00,357,larceny,central,downtown
1179,2016-12-22 19:30:00,357,larceny from auto,central,downtown
1180,2016-12-22 19:27:00,357,common assault,northwestern,woodberry
1181,2016-12-22 19:00:00,357,robbery - residence,southern,westport
1182,2016-12-22 19:00:00,357,burglary,northwestern,dorchester
1184,2016-12-22 18:26:00,357,homicide,northeastern,belair-edison
1185,2016-12-22 18:25:00,357,homicide,central,reservoir hill
1189,2016-12-22 18:05:00,357,robbery - commercial,central,downtown
1193,2016-12-22 18:00:00,357,larceny,northern,medfield
1199,2016-12-22 17:07:00,357,common assault,northeastern,frankford
1200,2016-12-22 17:00:00,357,common assault,northwestern,dorchester
1201,2016-12-22 17:00:00,357,common assault,northwestern,dorchester
1206,2016-12-22 17:00:00,357,larceny,northeastern,belair-edison
1212,2016-12-22 16:30:00,357,larceny from auto,northern,homeland
1217,2016-12-22 15:55:00,357,burglary,southern,inner harbor
1225,2016-12-22 15:30:00,357,auto theft,southern,brooklyn
1231,2016-12-22 14:45:00,357,robbery - commercial,northeastern,lauraville
1235,2016-12-22 14:19:00,357,larceny,central,downtown
1237,2016-12-22 14:00:00,357,larceny from auto,central,downtown
1241,2016-12-22 13:30:00,357,burglary,northeastern,belair-edison
1244,2016-12-22 13:00:00,357,robbery - street,northwestern,arlington
1256,2016-12-22 12:00:00,357,agg. assault,eastern,middle east
1259,2016-12-22 12:00:00,357,larceny from auto,central,downtown
