,Datetime,Day of the Year,Description,District,Neighborhood
19628,2016-08-18 22:00:00,231,auto theft,northwestern,forest park
19632,2016-08-18 21:00:00,231,larceny,southern,federal hill
19640,2016-08-18 20:00:00,231,agg. assault,northeastern,lauraville
19641,2016-08-18 20:00:00,231,common assault,northeastern,lauraville
19643,2016-08-18 20:00:00,231,burglary,southern,cherry hill
19645,2016-08-18 20:00:00,231,larceny from auto,central,downtown
19649,2016-08-18 19:45:00,231,robbery - street,northeastern,frankford
19650,2016-08-18 19:45:00,231,common assault,northeastern,frankford
19654,2016-08-18 19:30:00,231,auto theft,northwestern,howard park
19655,2016-08-18 19:30:00,231,auto theft,northeastern,belair-edison
19656,2016-08-18 19:20:00,231,larceny,northeastern,belair-edison
19657,2016-08-18 19:17:00,231,robbery - street,central,upton
19658,2016-08-18 19:17:00,231,common assault,central,upton
19659,2016-08-18 19:00:00,231,burglary,southern,hollins market
19663,2016-08-18 18:30:00,231,burglary,central,downtown
19664,2016-08-18 18:30:00,231,burglary,central,downtown
19668,2016-08-18 18:00:00,231,burglary,central,reservoir hill
19676,2016-08-18 17:00:00,231,larceny,northwestern,howard park
19677,2016-08-18 16:45:00,231,common assault,southern,inner harbor
19680,2016-08-18 16:16:00,231,common assault,southern,westport
19681,2016-08-18 16:00:00,231,burglary,northeastern,loch raven
19682,2016-08-18 16:00:00,231,larceny from auto,southern,inner harbor
19683,2016-08-18 15:45:00,231,agg. assault,central,upton
19687,2016-08-18 15:00:00,231,larceny from auto,central,downtown
19696,2016-08-18 14:00:00,231,burglary,central,reservoir hill
19698,2016-08-18 13:45:00,231,burglary,southern,brooklyn
19699,2016-08-18 13:30:00,231,agg. assault,southern,curtis bay
19700,2016-08-18 13:00:00,231,burglary,northeastern,belair-edison
19702,2016-08-18 13:00:00,231,larceny,northwestern,arlington
19704,2016-08-18 12:45:00,231,larceny,northeastern,belair-edison
19705,2016-08-18 12:45:00,231,larceny,northeastern,belair-edison
19707,2016-08-18 12:00:00,231,common assault,central,reservoir hill
19708,2016-08-18 11:52:00,231,assault by threat,western,sandtown-winchester
19711,2016-08-18 11:30:00,231,larceny from auto,northwestern,howard park
19712,2016-08-18 11:25:00,231,agg. assault,western,walbrook
19713,2016-08-18 11:25:00,231,common assault,western,walbrook
